Volcano,Latitude,Longitude,Eruption,"Plume style (W, D and S denote weak, distorted and strong plumes respectively, cf Section 3)",Date start (UTC),Vent altitude (m a.s.l.),Plume height (km a.v.l.),Plume height uncertainty (km),Erupted tephra mass (kg),Erupted mass uncertainty (kg),Duration (hrs),Duration uncertainty (hrs),H2O content (wt.%),H2O content uncertainty (wt.%),Brunt-VÃ¤isÃ¤lÃ¤ frequency (s-1),Average wind speed (m.s-1),Average wind shear (s-1),Near-vent atmospheric temperature (K),Near-vent atmospheric pressure (hPa),Near-vent atmospheric relative humidity (%),Near-vent atmospheric specific humidity (g/kg),References,Comments
Mt Redoubt,,,,,3/26/2009 17:34,2300,16.5,2,4.60E+09,2.30E+09,0.25,0.08,4.5,0.9,0.018290227,8.276158051,0.000969672,259.7770183,734.5291929,62.99049336,0.001176189,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 7-8 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
Mt Redoubt,,,,,3/27/2009 8:47,2300,11.5,3,1.32E+10,6.00E+09,0.85,0.26,4.5,0.9,0.016652127,6.806265043,0.001019716,259.1719433,742.6666783,82.65758664,0.001454208,"Wallace et al (2013), Ekstrand et al (2013), Mastin et al (2013), Coombs et al (2013)",This phase corresponds to events 9-18 in Wallace et al (2013). We assumed a 50% uncertainty on erupted mass and 30% uncertainty on total duration.
Mt Ruapehu,-39.28,175.57,1995-1996,,10/11/1995 8:00,2500,9.5,2,3.25E+10,1.60E+10,8,1,1.4,0.7,0.012086587,19.17221503,0.003252287,272.110857,747.738289,32.05975934,0.001572897,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
Mt Ruapehu,,,,,10/14/1995 3:00,2500,9.5,2,6.50E+09,3.30E+09,6.5,1.5,1.4,0.7,0.010585143,21.88648174,0.003669265,274.6054848,750.7666495,73.42482675,0.004053907,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
Mt Ruapehu,,,,W,6/16/1996 17:30,2500,5.5,2,4.60E+09,2.30E+09,19,2,1.4,0.7,0.009631121,21.18617461,0.006327714,267.6854182,752.8514459,25.71361984,0.0008514,"Global Volcanism Program (1995), Cronin et al (1998),  Hurst and Turner (1999),Kilgour et al (2013)",
Nevado del Ruiz,4.892,-75.324,Nov-85,,11/14/1985 2:09,5400,11.5,6,3.50E+10,2.10E+10,0.83,0.5,3,1,0.010636937,7.125330648,0.001109319,270.1222968,528.4161019,86.15652225,0.004959787,"Global Volcanism Program (1985), Naranjom et al (1986), Voight (1990), Krueger et al (1990), Melson et al (1990)",
Okmok,53.43,-168.13,Jul-08,,7/12/2008 19:43,1073,13.9,3,1.76E+10,9.00E+09,1.8,0.5,1.7,0.7,0.012997898,11.51206603,0.001357688,283.5086189,889.1692241,87.58523753,0.007838161,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017)",We assumed 50% uncertainty on erupted mass and +/-3km on the average plume height.
Okmok,,,,,7/12/2008 21:30,1073,14.5,3,1.03E+11,5.00E+10,2.25,0.5,1.7,0.7,0.013500586,11.48536345,0.001300435,282.9221585,890.1516443,83.51041262,0.007142928,"Unema (2001), Larsen et al (2009),   Larsen et al (2013), Larsen et al (2015), personnal communication with Jessica Larsen, Michael Ort and Peter Webley (January 2017)",We assumed 50% uncertainty on erupted mass and +/-3km on the average plume height.
Popocatepetl,19.023,-98.622,1996-1997,,4/30/1996 18:19,5452,4,1,5.30E+08,2.65E+08,0.13,0.03,1.8,0.9,0.011266508,12.21563382,0.005171464,268.3807328,529.0201079,38.52882399,0.001928295,"Global Volcanism Program (1996a), Armienta et al (2002), Atlas et al (2006), Martin-Del Pozzo et al (2008)",We assumed 50% uncertainty on erupted mass
Popocatepetl,,,,,10/28/1996 15:05,5452,2.75,1,2.00E+07,1.00E+07,0.8,0.1667,1.8,0.6,0.009846641,10.24954676,0.005082812,272.3348986,530.7954803,17.91194652,0.001198027,"Global Volcanism Program (1996b), Atlas et al (2006), Martin-Del Pozzo et al (2008),",We assumed 50% uncertainty on erupted mass
Popocatepetl,,,,,6/30/1997 23:11,5452,8,3,1.10E+09,5.50E+08,2.16,1.5,1.8,0.9,0.009977615,6.284899619,0.001188448,269.2039664,527.247995,82.09332352,0.004409195,"Global Volcanism Program (1997), Atlas et al (2006), Martin-Del Pozzo et al (2008)",We assumed 50% uncertainty on erupted mass
Quizapu,-34.653,-70.761,1932,S,4/10/1932 14:00,3788,16,10,1.10E+13,3.00E+12,22,4,5,1,0.016867407,26.14446662,0.002569489,267.7791196,637.6082961,29.33250236,0.001045493,"Hildreth and Drake (1992) , Bonadonna and Houghton (2005) , Ruprecht and Bachmann (2010)",
